Link,ID,Version,Shipname,Launch,H.,P.,Type,B.M.,Disp.,Guns,Fate,S.B.,Note
,260,0,Camel,1856,W,S,Gunboat,232,,4,1864,76,
,261,0,Camel,1866,I,P,Tug,319,521,0,1913,77,
ShowShip.php?id=1200,262,0,Cameleon,1816,W,W,Brig-sloop,240,,,1849,,
ShowShip.php?id=144,263,0,Camelion,1860,W,S,Sloop (1862: Corvette),952,1365,17,1883,78,
ShowShip.php?id=1201,264,0,Camilla,1847,W,W,Sloop,549,,16,1861,,1860 foundered on China station
,266,0,Camperdown,1885,I,S,Barbette battleship,,10600,10,1911,,1908 hulk
ShowShip.php?id=1204,267,0,Canopus,1798,W,W,3rd rate,2257,,80,1887,,Was Franklin (French) captured 1798.08.01 at the Nile. 1863 h.s.
ShowShip.php?id=2389,268,0,Captain,1787,W,W,3rd rate,1639,,74,1813,,1809 h.s. 1813.03.22 burnt by accident
ShowShip.php?id=1206,270,0,Captain,1869,I,S,Turret ship,4272,7767,6,1870,,Ships book ADM 136/3. 1870.09.07 capsized in storm off Cape Finisterre
ShowShip.php?id=1207,271,0,Caradoc,1847,I,P,Gunboat,676,,1,1870,79,
ShowShip.php?id=1209,272,0,Carnatic,1823,W,W,3rd rate,1790,,72,1914,,Never commissioned. 1860 c.h. 1886 powder hulk. 1886-1891 lent War Dept.
ShowShip.php?id=1210,273,0,Carnation,1855,W,S,Gunboat,232,,4,1863,80,
,274,0,Caroline,1856,W,S,Gunboat,232,,4,1862,81,
ShowShip.php?id=1212,275,1,Caroline,1882,C,S,Corvette,,1420,14,1929,,1897 h.s. 1908 = Ganges t.s. 1913 = Powerful III. 1919 = Impregnable IV
ShowShip.php?id=1488,275,2,Ganges,1908,,,,,,,,,Caroline 1882
ShowShip.php?id=1914,275,3,Powerful III,1913,,,,,,,,,Caroline 1882
ShowShip.php?id=1605,275,4,Impregnable IV,1919,,,,,,,,,Caroline 1882
ShowShip.php?id=1214,276,0,Carron,1827,W,P,Gunvessel,295,,2,1877,,
,277,0,Carron,1855,W,W,Mortar vessel,160,,1,1884,,1855.10 = MV.17. 1866 hulk
,278,0,Carron,1867,,,Tug,,,,1885,82,
ShowShip.php?id=1216,279,0,Carysfort,1836,W,W,6th rate,911,,26,1861,,
ShowShip.php?id=1217,280,0,Carysfort,1878,S,S,Corvette,,2380,14,1899,,
,281,0,Cassius,1847,W,W,Diving-bell vessel,,,,1852,,Was U.S.A. schooner
,282,0,Castlereagh,1846,W,W,Survey schooner,,,,1848,,
ShowShip.php?id=1220,283,0,Castor,1832,W,W,5th rate,1293,1808,26,1902,,1860 t.s.
ShowShip.php?id=2423,284,0,Celebes,1806,W,W,5th rate,,,36,,,1806.07.26 Dutch Pallas captured in East Indies. Originally renamed Macassar
ShowShip.php?id=1221,285,0,Centaur,1845,W,P,2nd class frigate,1270,2100,6,1864,,
ShowShip.php?id=16,286,0,Centurion,1844,W,W,2nd rate,2580,,80,1870,83,1855 screw
ShowShip.php?id=1222,287,0,Cerberus,1827,W,W,5th rate,1079,,46,1866,,
ShowShip.php?id=1223,288,1,Cerberus,1867,,,,,,,,,Volage 1869
ShowShip.php?id=2268,288,2,Volage,1869,I,S,Corvette,,3080,10,1904,502,Ordered as Cerberus
,289,0,Cerberus,1870,I,S,Breastwork monitor,,3340,4,1924,0,1918=Platypus II d.s.
ShowShip.php?id=2527,291,0,Challenger,1826,W,W,6th rate,603,,28,1835,,1835.05.19 wrecked off the coast of Chile
ShowShip.php?id=105,292,0,Challenger,1858,W,S,Corvette,1465,2137,21,1921,84,1872 survey ship 4 guns. 1880 hulk
ShowShip.php?id=1224,293,0,Champion,1824,W,W,Sloop,456,,18,1867,,Wrecked as a target
ShowShip.php?id=2501,294,0,Chanticleer,1808,W,W,Brig-sloop,237,,10,1871,,1828 survey ship. 1830 Customs watch vessel. 1863.05.25 = WV.5
ShowShip.php?id=145,295,0,Chanticleer,1861,W,S,Sloop (1862: Corvette),950,1419,17,1875,85,
ShowShip.php?id=1226,297,0,Charger,1855,W,S,Gunboat,232,,4,1887,86,
ShowShip.php?id=1227,298,0,Charon,1837,W,P,Packet,125,,,1849,,
ShowShip.php?id=1228,299,0,Charon,1856,W,S,Gunboat,232,,4,1865,,
ShowShip.php?id=2337,300,0,Charybdis,1831,W,W,Brigantine,232,,3,1843,,
ShowShip.php?id=106,301,0,Charybdis,1859,W,S,Corvette,1506,2187,21,1884,,1881-1882 lent to Canadian govt as t.s.
,302,0,Chasseur,1855,I,P,Floating factory,543,,,1901,,
ShowShip.php?id=1230,303,0,Chatham,1741,W,W,Yacht,74,,6,1867,,1793 rebuilt 93 bm. 1842 rebuilt 104 bm
ShowShip.php?id=1231,304,0,Chatham,1812,W,W,3rd rate,1788,1817,74,1817,,Built from frames captured at Flushing. 1814 sheer hulk
ShowShip.php?id=1232,305,0,Cheerful,1855,W,S,Gunboat,212,,2,1869,87,
ShowShip.php?id=2390,306,0,Cherokee,1842,W,P,Vessel,750,,,1851,,
,307,0,Cherokee,1856,W,S,Gunboat,232,,4,1869,88,Never completed for sea
ShowShip.php?id=2472,308,0,Cherub,1806,W,W,Sloop,424,,18,1820,,
,309,0,Cherub,1865,W,S,Gunboat,,330,2,1890,,
ShowShip.php?id=77,310,0,Chesapeake,1855,W,S,Frigate,2377,3334,51,1867,89,
,311,0,Chester,1861,I,S,Tank vessel,164,234,0,1925,90,
,312,0,Chichester,1843,W,W,4th rate,1468,,52,1889,,1866 lent as t.s.
ShowShip.php?id=2391,313,0,Chiffonne,1801,W,W,5th rate,945,,36,18??,,1801.08.19 captured from French off Sychelles
ShowShip.php?id=1237,314,0,Childers,1827,W,W,Brig-sloop,385,,16,1865,,
ShowShip.php?id=1238,315,0,Chub,1855,W,S,Gunboat,212,,2,1869,91,
ShowShip.php?id=2532,316,0,Circassian,1854,W,P,Vessel,170,,0,1856,,
ShowShip.php?id=2392,317,0,Circe,1804,W,W,5th rate,670,,32,1814,,
ShowShip.php?id=1240,318,1,Circe,1827,W,W,5th rate,1079,,46,1922,,1866 h.s. 1916 = Impregnable IV
ShowShip.php?id=1604,318,2,Impregnable IV,1916,,,,,,,,,Circe 1827
ShowShip.php?id=1241,319,0,Clarence,1827,W,W,2nd rate,2288,,84,1884,,Laid down as Goliath. 1872 t.s. 1884.01.17 accidentally burnt on Mersey
ShowShip.php?id=2393,321,0,Cleopatra,1779,W,W,5th rate,689,,32,1814,,
ShowShip.php?id=1243,322,0,Cleopatra,1835,W,W,6th rate,918,,26,1862,,
,323,1,Cleopatra,1878,S,S,Corvette,,2380,14,1931,,1922.01 = Defiance III
,323,2,Defiance III,1922,,,,,,,,,Cleopatra 1878
ShowShip.php?id=1245,324,0,Clinker,1813,W,W,Gun-brig,183,,12,1867,,1831 Coastguard. 1863 = WV.12
ShowShip.php?id=1246,325,0,Clinker,1855,W,S,Gunboat,232,,3,1871,92,
ShowShip.php?id=2338,327,0,Clio,1807,W,W,Brig-sloop,389,,18,1845,,
ShowShip.php?id=107,328,0,Clio,1858,W,S,Corvette,1462,2187,21,1919,,1877 t.s.
ShowShip.php?id=1248,329,0,Clown,1856,W,S,Gunboat,233,,,1871,93,1867 coal lighter. 18?? = YC.1. 18?? = YC.6. 1871 lost
ShowShip.php?id=1249,330,0,Clyde,1828,W,W,5th rate,1081,1447,46,1904,,1870 = RNR drill ship
,331,0,Cochin,1820,W,W,Schooner,54,,,1850,,1840 tank vessel
,332,0,Cochin,1856,W,S,Gunboat,232,,4,1863,,
ShowShip.php?id=1252,333,0,Cockatrice,1832,W,W,Schooner,182,,,1858,,
ShowShip.php?id=1253,334,0,Cockatrice,1860,W,S,Gunboat,268,330,2,1885,94,1882 = YC.10 luggage lighter
,335,0,Cockburn,1827,,,Schooner,70,,1,1837,,
ShowShip.php?id=1254,336,0,Cockchafer,1855,W,S,Gunboat,232,,4,1872,95,
ShowShip.php?id=17,339,0,Collingwood,1841,W,W,2nd rate,2589,,80,1867,96,1861 screw
ShowShip.php?id=18,340,0,Colossus,1848,W,W,2nd rate,2590,,80,1867,97,1855 screw
ShowShip.php?id=2479,341,0,Columbia,1813,W,W,Sloop,294,,18,1820,,American privateer Curlew captured 1813 off Cape Sable
ShowShip.php?id=1257,342,0,Columbia,1829,W,P,Packet,361,504,3,1859,,1842 survey vessel. 1857 c.h.
ShowShip.php?id=1258,343,0,Columbine,1826,W,W,Sloop,492,,18,1892,,1849 12 gun brig. 1854 c.h.
ShowShip.php?id=146,344,0,Columbine,1862,W,S,Sloop,669,913,11,1875,98,
ShowShip.php?id=1259,345,0,Comet,1822,W,P,Tug and ferry,238,239,2,1868,99,First steamship ordered by Admiralty
ShowShip.php?id=1260,346,1,Comet,1828,W,W,Sloop,462,,18,1862,,1832 = Comus
ShowShip.php?id=1263,346,2,Comus,1832,,,,,,,,,Comet 1828
,348,0,Comet,1870,I,S,Gunboat,,254,1,1908,,
ShowShip.php?id=1264,350,0,Confiance,1827,W,P,Gunvessel,295,,2,1873,100,
,351,0,Conflict,1812,W,S,Gunboat,180,,12,1840,,1832 r.s. Sierre Leone
ShowShip.php?id=147,352,0,Conflict,1846,W,S,Sloop,992,1628,8,1863,,1848 lengthened to 1848 bm
,353,0,Conflict,1873,W,W,Schooner,120,,1,1882,,
,354,0,Confounder,1856,W,S,Gunboat,232,,4,1864,,
,355,0,Congo,1816,W,P,Survey schooner,83,,1,1826,,1816 engine removed
ShowShip.php?id=46,356,0,Conqueror,1855,W,S,2nd rate,3225,5720,101,1861,,1861.12.29 wrecked Rum Key West Indies
ShowShip.php?id=1269,358,0,Conquestador,1810,W,W,3rd rate,1773,,74,1897,,1831 4th rate. 1860 powder hulk.
ShowShip.php?id=188,359,0,Constance,1846,W,W,4th rate,2132,,50,1875,101,1862 screw
ShowShip.php?id=1270,360,0,Contest,1846,W,W,Brig,459,,12,1868,,
,361,0,Contest,1874,C,S,Gunboat,,455,4,1889,,
ShowShip.php?id=2480,362,0,Conway,1814,W,W,6th rate,451,,20,1825,,
ShowShip.php?id=1272,363,1,Conway,1832,W,W,6th rate,652,,26,1871,,1859 t.s. 1861 = Winchester
ShowShip.php?id=2302,363,2,Winchester,1861,,,,,,,,,Conway 1832
ShowShip.php?id=1275,366,0,Coquette,1855,W,S,Gunvessel,677,,4,1868,102,
,367,0,Coquette,1871,C,S,Gunboat,295,430,4,1889,103,
ShowShip.php?id=2485,368,0,Cordelia,1808,W,W,Brig-sloop,239,,10,1833,,
ShowShip.php?id=148,369,0,Cordelia,1856,W,S,Sloop,579,876,11,1870,104,
ShowShip.php?id=1277,370,0,Cormorant,1842,W,P,1st class sloop,1054,1379,6,1853,,
ShowShip.php?id=1278,371,0,Cormorant,1856,W,S,Gunvessel,675,,4,1859,,1859.06.28 sunk at Peiho forts
ShowShip.php?id=1279,372,0,Cormorant,1860,W,S,Gunvessel,695,877,4,1870,105,
ShowShip.php?id=2591,373,0,Cormorant,1877,C,S,Sloop,,1130,6,1949,,1946 = Rooke
ShowShip.php?id=1280,374,1,Cornwall,1812,W,W,3rd rate,1751,,74,1875,,1831 50 guns.1869 = Wellesley t.s.
ShowShip.php?id=2291,374,2,Wellesley,1869,,,,,,,,,Cornwall 1812
ShowShip.php?id=1281,375,1,Cornwallis,1801,W,W,4th rate,1388,,54,1862,,
ShowShip.php?id=1030,375,2,Akbar,1806,,,,,,,,,Cornwallis 1801
ShowShip.php?id=61,376,1,Cornwallis,1813,W,W,3rd rate,1809,,74,1957,106,1855 screw blockship 60 guns. 1865 jetty at Sheerness. 1916 = Wildfire base ship
ShowShip.php?id=2300,376,2,Wildfire,1916,,,,,,,,,Cornwallis 1813
ShowShip.php?id=1284,379,0,Coromandel,1855,W,P,Dispatch vessel,303,,,1866,,1855 purchased. 1866 = Naruto (Japanese navy). 1876 broken up.
ShowShip.php?id=108,380,0,Cossack,1854,W,S,Corvette,1296,1965,20,1875,107,Laid down as Witjas for Russian navy. seized on stocks 1854.04.05
ShowShip.php?id=1285,381,1,Courier,1829,W,P,Packet,733,912,,1854,,
ShowShip.php?id=1563,381,2,Hermes,1830,,,,,,,,,Courier 1829
ShowShip.php?id=1225,381,3,Charger,1835,,,,,,,,,Courier 1829
,382,0,Cowper,1860,W,P,Vessel,342,,,1861,,
ShowShip.php?id=1287,383,0,Cracker,1855,W,S,Gunboat,232,,3,1864,,
ShowShip.php?id=1288,384,0,Cracker,1867,C,S,Gunboat,465,605,4,1889,108,
ShowShip.php?id=1289,385,0,Crane,1839,W,W,Packet brig,359,,6,1862,,
,386,0,Creole,1845,W,W,6th rate,911,,26,1875,,
ShowShip.php?id=1291,387,0,Crescent,1810,W,W,5th rate,1084,,38,1854,,1840 h.s.
,388,0,Crescent,1854,W,P,Tender,90,,,1855,,1854 purchased
ShowShip.php?id=19,389,0,Cressy,1853,W,S,2nd rate,2539,3707,80,1867,109,Converted to screw on stocks
ShowShip.php?id=1294,391,0,Crocodile,1825,W,W,6th rate,500,,28,1861,,
ShowShip.php?id=1295,392,0,Crocodile,1867,I,S,Troopship,4173,6211,3,1894,110,
,393,0,Crocus,1856,W,S,Gunboat,232,,4,1864,,
,394,0,Cromer,1867,W,S,Gunboat,268,330,2,1886,111,
ShowShip.php?id=1299,396,0,Cruizer,1828,W,W,Brig-sloop,385,,18,1849,,
ShowShip.php?id=149,397,1,Cruizer,1852,W,S,Sloop,747,1045,17,1912,272,1856 = Cruiser. 1893 = Lark sail t.s.
ShowShip.php?id=1298,397,2,Cruiser,1856,,,,,,,,,Cruizer 1852
ShowShip.php?id=1676,397,3,Lark,1893,,,,,,,,272,Cruizer 1852
ShowShip.php?id=1300,398,0,Cuckoo,1837,W,P,Packet,234,36,,1865,,
,399,1,Cuckoo,1873,I,S,Gunboat,,254,1,1958,,1912 = Vivid base ship. 1920 = Vivid (Old). 1923 = YC.37
,399,2,Vivid,1912,,,,,,,,,Cuckoo 1873
,399,3,Vivid (old),1920,,,,,,,,,Cuckoo 1873
,401,1,Cumberland,1807,W,W,3rd rate,1718,,74,1870,,1830 convict ship. 1833 = Fortitude
ShowShip.php?id=1475,401,2,Fortitude,1833,,,,,,,,,Cumberland 1807
ShowShip.php?id=1304,402,0,Cumberland,1842,W,W,3rd rate,2214,,70,1889,,1870 t.s.1889.02.17 burnt on Clyde.
,403,0,Cupid,1855,I,W,Mortar vessel,102,,1,1870,,also called Mortar Float No. 103. 1865 = YC.3
ShowShip.php?id=1306,404,0,Curacoa,1809,W,W,5th rate,956,,36,1849,,
ShowShip.php?id=78,405,0,Curacoa,1854,W,S,Frigate,1570,2385,31,1869,112,
ShowShip.php?id=1307,406,0,Curlew,1830,W,W,Brig-sloop,233,,10,1849,,
ShowShip.php?id=150,407,0,Curlew,1854,W,S,Sloop,486,625,9,1865,113,
,408,0,Curlew,1868,W,S,Gunvessel,665,805,3,1882,114,
ShowShip.php?id=1309,409,0,Cyclops,1839,W,P,1st class sloop,1195,1960,6,1864,,
,410,0,Cyclops,1871,I,S,Coast defence monitor,,3480,4,1903,115,
ShowShip.php?id=1311,411,0,Cygnet,1840,W,W,Brig,359,,8,1877,,1863 = WV.30 Coastguard.
ShowShip.php?id=1312,412,0,Cygnet,1860,W,S,Gunvessel,428,570,5,1868,116,
,413,0,Cygnet,1874,C,S,Gunboat,,455,4,1889,,
ShowShip.php?id=1314,414,0,Daedalus,1826,W,W,5th rate,1083,,46,1911,,1843 reduced to 20 guns 1862 RNR drill ship
ShowShip.php?id=1316,416,0,Daisy,1856,W,S,Gunboat,212,,2,1869,117,
ShowShip.php?id=109,417,0,Danae,1867,W,S,Sloop (1876: Corvette),1287,1719,6,1906,118,1886 hulk lent to War Dept
,418,0,Danube,1854,W,P,Vessel,110,,,1856,,
ShowShip.php?id=1318,419,0,Daphne,1838,W,W,6th rate,726,,18,1864,,
ShowShip.php?id=151,420,0,Daphne,1866,W,S,Sloop,1081,1640,4,1882,119,
ShowShip.php?id=1319,421,0,Dapper,1855,W,S,Gunboat,232,,3,1922,120,1855 training hulk. 1897 cooking depot. 1090 = YC.37
ShowShip.php?id=1320,422,0,Daring,1844,W,W,Brig,426,,12,1864,,
,423,0,Daring,1874,C,S,Sloop,,940,4,1889,,
ShowShip.php?id=1323,424,0,Dart,1847,W,W,Brigantine,319,,3,1875,,1863 = WV.26
ShowShip.php?id=1324,425,1,Dart,1860,W,S,Gunvessel,828,570,5,1884,264,1882 = Kangaroo
ShowShip.php?id=1656,425,2,Kangaroo,1882,,,,,,,,,Dart 1860
ShowShip.php?id=1325,426,0,Dartmouth,1813,W,W,5th rate,952,,36,1854,,1831 h.s.
ShowShip.php?id=1326,427,0,Dasher,1837,W,P,Packet,357,,1,1885,121,
ShowShip.php?id=2394,428,0,Dauntless,1804,W,W,Sloop,426,,18,,,1807.05.26 captured by French at Danzig
ShowShip.php?id=79,429,0,Dauntless,1847,W,S,Frigate,1453,2520,24,1885,122,1850 lengthened 1575 bm
ShowShip.php?id=1327,430,0,Decoy,1856,W,S,Gunboat,212,,2,1869,123,
,431,0,Decoy,1871,C,S,Gunboat,295,430,4,1885,124,
ShowShip.php?id=1330,432,0,Dee,1832,W,P,2nd class sloop,704,,4,1871,125,Converted to paddle on stocks. 1852 troopship. 1868 storeship
ShowShip.php?id=1331,433,0,Defence,1815,W,W,3rd rate,1754,,74,1857,,Laid down as Marathon. 1849 convict ship. 1857.07.14 burnt by accident
ShowShip.php?id=1332,434,1,Defence,1861,I,S,Broadside ironclad frigate,3270,6270,22,1935,126,1885 h.s. 1898 = Indus t.s. 1922 hulk
ShowShip.php?id=1612,434,2,Indus,1898,,,,,,,,,Defence 1861
ShowShip.php?id=47,435,0,Defiance,1861,W,S,2nd rate,3475,5270,81,1931,,1884 torpedo school
ShowShip.php?id=2339,440,0,Delight,1829,W,W,Packet brig,237,,4,1844,,
ShowShip.php?id=1337,441,0,Delight,1856,W,S,Gunboat,232,,4,1867,127,
,442,0,Deptford,1781,W,W,Tender,158,,12,1863,,
,443,0,Deptford,1788,W,W,Transport brig,,,6,1862,,18?? mooring lighter
,444,1,Despatch,1851,W,W,Brig,483,,12,1901,,1863 (= Cadmus) = WV.24 Coastguard
,444,2,Cadmus,1863,,,,,,,,,Despatch 1851
,445,0,Despatch,1869,,,Tank vessel,,,,1905,128,
ShowShip.php?id=152,446,0,Desperate,1849,W,S,Sloop,1038,1663,8,1865,129,
ShowShip.php?id=1342,447,0,Devastation,1841,W,P,1st class sloop,1059,1380,6,1867,130,
ShowShip.php?id=1343,448,0,Devastation,1871,I,S,Turret ship,4406,9387,4,1908,,
ShowShip.php?id=1344,449,0,Devonshire,1812,W,W,3rd rate,1742,,74,1869,,1849 h.s.
ShowShip.php?id=80,450,0,Diadem,1856,W,S,Frigate,2483,3880,32,1875,131,
ShowShip.php?id=1345,451,1,Diamond,1848,W,W,6th rate,1051,,28,1885,,1866 lent as t.s. 1868 = Joseph Straker
ShowShip.php?id=1645,451,2,Joseph Straker,1868,,,,,,,,,Diamond 1848
ShowShip.php?id=110,452,0,Diamond,1874,W,S,Corvette,1405,1970,14,1889,,
ShowShip.php?id=1346,453,0,Diana,1822,W,W,5th rate,1083,,46,1874,,1868 h.s.
ShowShip.php?id=1347,454,0,Dido,1836,W,W,Corvette,734,,18,1903,,1860 c.h.
ShowShip.php?id=111,455,1,Dido,1869,W,S,Sloop (1876: Corvette),1277,1755,6,1922,132,1886 hulk. 1906 = Actaeon II
ShowShip.php?id=1009,455,2,Actaeon II,1906,,,,,,,,,Dido 1869
ShowShip.php?id=2395,456,0,Diomede,1798,W,W,4th rate,1123,,50,1815,,
ShowShip.php?id=2544,457,0,Discovery,1874,W,S,Vessel,556,1247,,1902,,
,458,0,Dispatch,1812,W,W,Brig-sloop,388,,18,1836,,
ShowShip.php?id=1349,460,0,Dolphin,1836,W,W,Brigantine,319,,3,1894,,1861 Customs w.v.
ShowShip.php?id=1350,461,0,Donegal,1798,W,W,3rd rate,1901,,76,1845,,1798.10.12 captured as Hoche (French)
ShowShip.php?id=48,462,1,Donegal,1858,W,S,2nd rate,3245,5461,101,1925,,1886 = Vernon torpedo school
ShowShip.php?id=2236,462,2,Vernon,1886,,,,,,,,,Donegal 1858
ShowShip.php?id=2396,463,0,Doris,1808,W,W,5th Rate,870,,36,18??,,
ShowShip.php?id=81,464,0,Doris,1857,W,S,Frigate,2483,3677,32,1885,133,
ShowShip.php?id=2397,465,0,Doterel,1808,W,W,Brig-sloop,387,,18,1848,,1827.04 hulk
ShowShip.php?id=1351,466,0,Doterel,1837,W,P,Packet,237,,,1850,,
,467,0,Doterel,1860,W,S,Gunboat,268,330,2,1871,134,
ShowShip.php?id=2398,468,0,Dove,1823,W,W,Packet brig,,,6,1829,,1823 Purchased
ShowShip.php?id=1354,469,0,Dove,1855,W,S,Gunboat,232,,4,1873,135,
,470,0,Dover,1840,I,P,Packet,224,,,1866,136,1st iron vessel in RN. 1847 gunboat 1
ShowShip.php?id=1357,471,1,Dragon,1798,W,W,3rd rate,1815,,74,1850,,1824 h.s. 1842 = Fame hulk
ShowShip.php?id=1429,471,2,Fame,1842,,,,,,,,,Dragon 1798
ShowShip.php?id=1358,472,0,Dragon,1845,W,P,2nd class frigate,1270,2100,6,1865,,
ShowShip.php?id=2593,473,0,Dragon,1878,C,S,Sloop,,1130,6,1892,,
,474,1,Drake,1834,W,W,Dockyard lighter,109,,,1867,,1854 mortar vessel. 1855 = MV.1. 1856 = Sheppey dockyard lighter
,474,2,Sheppey,1856,,,,,,,,,Drake 1834
ShowShip.php?id=1360,475,0,Drake,1856,W,S,Gunboat,233,,2,1869,138,
ShowShip.php?id=1363,478,0,Dreadnought,1801,W,W,2nd rate,2110,,98,1857,,1827 hospital ship
ShowShip.php?id=1365,480,0,Dreadnought,1875,I,S,Turret ship,,10820,4,1908,,Laid down as Fury. 1903 hulk
ShowShip.php?id=1366,481,0,Driver,1840,W,P,1st class sloop,1055,1379,6,1861,,1861.08 wrecked Mariguana Island
ShowShip.php?id=1368,483,0,Dromedary,1862,I,S,Troopship,657,,,1869,139,
ShowShip.php?id=1370,485,0,Druid,1825,W,W,5th rate,1170,,46,1863,,
ShowShip.php?id=112,486,0,Druid,1869,W,S,Corvette,,1791,10,1886,140,
ShowShip.php?id=1371,487,0,Dryad,1795,W,W,5th rate,924,,36,1860,,1832 h.s.
ShowShip.php?id=153,488,0,Dryad,1866,W,S,Sloop,1086,1574,4,1885,141,
ShowShip.php?id=1372,489,0,Dublin,1812,W,W,3rd rate,1772,,74,1885,,1826 50 guns. 1845 h.s.
ShowShip.php?id=1373,491,0,Duncan,1811,W,W,3rd rate,1761,,74,1863,,1826 h.s.
ShowShip.php?id=49,492,1,Duncan,1859,W,S,2nd rate,3727,5724,101,1910,,1890 = Pembroke h.s. 1905 = Tenedos II
ShowShip.php?id=1862,492,2,Pembroke,1890,,,,,,,,,Duncan 1859
ShowShip.php?id=2164,492,3,Tenedos II,1905,,,,,,,,,Duncan 1859
,494,0,Dwarf,1826,W,W,Cutter,50,,2,1862,,
,495,0,Dwarf,1843,I,S,Vessel,164,,,1853,,
,496,0,Dwarf,1856,W,S,Gunboat,212,,2,1863,,
,497,0,Dwarf,1867,C,S,Gunvessel,465,584,4,1886,143,
ShowShip.php?id=2373,498,1,Eagle,1804,W,W,3rd rate,1706,,74,1926,0,1830.04 50 gun 4th rate.1860 t.s. 1918=Eaglet. 1926 accidentally burnt
ShowShip.php?id=2374,498,2,Eaglet,1918,,,,,,,,0,Eagle 1804
,500,0,Earnest,1856,W,S,Gunboat,232,,4,1885,,
ShowShip.php?id=1380,501,0,Echo,1827,W,P,Gunvessel,295,,2,1885,145,
ShowShip.php?id=2399,502,0,Eclair,1807,W,W,Brig-sloop,387,,18,1831,,
ShowShip.php?id=1382,504,0,Eclipse,1819,W,W,Brig-sloop,235,,10,1863,,1836 Coastguard. 1863 = WV.21
ShowShip.php?id=1383,505,0,Eclipse,1860,W,S,Gunvessel,700,877,4,1867,146,
ShowShip.php?id=113,506,0,Eclipse,1867,W,S,Sloop (1876: Corvette),1276,1760,6,1921,147,Laid down as Sappho. 1888-1892 lent War Dept.
ShowShip.php?id=2401,507,0,Eden,1814,W,W,6th rate,451,,24,1833,,
ShowShip.php?id=50,508,0,Edgar,1858,W,S,2nd rate,3094,5158,91,1904,148,1870 lent Customs as hulk
ShowShip.php?id=62,509,0,Edinburgh,1811,W,W,3rd rate,1772,,74,1866,149,1846 screw blockship 60 guns
ShowShip.php?id=2547,510,0,Edinburgh,1882,S,S,Turret battleship,,9420,9,1910,,
ShowShip.php?id=1384,511,0,Egeria,1807,W,W,6th rate,424,,26,1865,,
ShowShip.php?id=1385,512,0,Egeria,1873,C,S,Sloop,,940,4,1911,,1886 survey ship
ShowShip.php?id=1386,513,0,Egmont,1810,W,W,3rd rate,1760,,74,1875,,
ShowShip.php?id=1389,516,0,Electra,1837,W,W,Sloop,462,,18,1862,,
,517,0,Elfin,1849,W,P,Yacht,98,,,1901,,
,518,0,Elizabeth,1873,,,Tank vessel,,,,1921,150,
ShowShip.php?id=1393,519,0,Elk,1847,W,W,Brig-sloop,482,,16,1893,,1863 = WV.13 Coastguard. 1863.5 = WV.28
,520,0,Elk,1868,C,S,Gunvessel,465,603,4,1905,151,1890 tug. 1905 sold as dredger
,521,0,Emerald,1820,W,W,Tender,86,,,1847,,
ShowShip.php?id=69,522,0,Emerald,1856,W,S,Frigate,2913,3503,51,1869,152,Laid down as 4th rate 60 guns 2146 bm
,523,0,Emerald,1876,C,P,Corvette,1864,2120,12,1906,,1898 powder hulk
,526,0,Emperor,1856,,P,Yacht,,,,1858,,Became Banyru (Japanese)
ShowShip.php?id=1400,528,0,Emulous,1819,W,W,Brig-sloop,235,,10,1864,,1841 Coastguard
,529,0,Enchantress,1862,W,P,Admiralty yacht,835,985,2,1889,,
ShowShip.php?id=99,531,0,Encounter,1846,W,S,Sloop (1862: Corvette),953,1934,14,1866,153,Converted to screw on stocks
ShowShip.php?id=114,532,0,Encounter,1873,W,S,Sloop,,1970,14,1888,154,
ShowShip.php?id=1403,533,0,Endymion,1797,W,W,4th rate,1277,,50,1868,,1860 h.s.
ShowShip.php?id=82,534,0,Endymion,1865,W,S,Frigate,2486,3200,36,1885,,
ShowShip.php?id=1404,535,0,Enterprise,1848,W,W,Survey sloop,471,,,1903,,1860 c.h.
ShowShip.php?id=1405,536,0,Enterprise,1864,C,S,Central battery ironclad sloop,993,1530,4,1886,155,Laid down as Circassian Camelion class wooden screw sloop
ShowShip.php?id=1406,537,0,Erebus,1826,W,W,Bomb,378,,14,1848,,1844 screw discovery vessel. 1848 abandoned in Artic
,538,0,Erebus,1856,I,S,Floating battery,1854,1954,16,1884,156,
ShowShip.php?id=1409,540,0,Erne,1856,W,S,Gunboat,232,,4,1874,157,
,541,0,Escort,1856,W,S,Gunboat,232,,4,1865,158,
ShowShip.php?id=115,542,0,Esk,1854,W,S,Corvette,1169,1900,20,1870,159,
ShowShip.php?id=2402,543,0,Espiegle,1812,W,W,Brig-sloop,387,,18,1832,,
ShowShip.php?id=1412,544,0,Espiegle,1844,W,W,Brig,443,,12,1861,,
ShowShip.php?id=1413,545,0,Espoir,1826,W,W,Brig-sloop,233,,10,1857,,
ShowShip.php?id=1414,546,0,Espoir,1860,W,S,Gunvessel,428,570,5,1881,160,1869 = YC.19 dredger
ShowShip.php?id=1415,547,0,Ethalion,1802,W,W,5th rate,996,,36,1877,,1823 h.s. 1835 lent as breakwater at Harwich
,548,0,Euphrates,1834,,P,Gunboat,179,,,18??,,
ShowShip.php?id=1417,549,0,Euphrates,1866,I,S,Troopship,4173,6211,3,1894,161,
ShowShip.php?id=189,550,0,Eurotas,1829,W,W,5th rate,1170,,46,1865,162,1856 mortar frigate 2 mortars
